Model,Const,Mem,Prop,#States (min),#Params (min),Add. Settings,Method,Time,Found
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,Momentum-Sign,1951.329,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,Momentum-Sign,1950.36,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,Momentum-Sign,2032.113,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,Momentum-Sign,2040.51,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,	1540,1250,lr=0.1 args=--constraint-method project-gradient,Momentum-Sign,2026.885,0.145
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,QCQP,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,QCQP,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,QCQP,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,QCQP,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,QCQP,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,PSO,ERR,ERR
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,PSO,31.4777,0.1469
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,PSO,31.9377,0.1469
hailfinder_2000,N/A,1,0.145_probability__max_Dewpoints0,?,?,lr=0.1 args=--constraint-method project-gradient,PSO,31.5438,0.1469
